#V1 ;;;;;;;;;;;;;;;;;;
###DATA nbPlanches=80;;;;;;;;;;;;;;;;;;
culture;categorie;debut;fin;quantite;planches_interdites;famille;delai_retour;exigeante;salissante;prof_enracinement;besoin_lumiere;exigence_de_soins;surveillance;aspersion;besoins_goute_a_goute;période_culture_ete;periode_culture_hiver;sortie
Ail;ail;144;164;2;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;aliacees;4;oui;oui;1;mi-ombre;;;;;été;hiver;8,9
Aubergine;aubergine;122;147;1;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;solanacees;4;oui;non;2;soleil;oui;;;2;été;0;49
Betterave;betterave;117;130;1;;chenopodiacees;2;non;oui;3;mi-ombre;;;;2;été;0;10
Betterave;betterave;139;151;1;;chenopodiacees;2;non;oui;3;mi-ombre;;;;2;été;hiver;4
Betterave;betterave;141;153;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;chenopodiacees;2;non;oui;3;mi-ombre;;;;2;été;hiver;6
Brocoli;brocoli;137;147;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;0;26
Brocoli;brocoli;137;144;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;0;27
Brocoli;brocoli;137;158;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;hiver;25
Butternut;courges;125;141;2;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;cucurbitacees;4;oui;non;3;soleil;;;non;1;été;0;37,38
Carotte;carotte;116;132;2;;apiacees;2;non;oui;3;mi-ombre;oui;oui;oui;3;été;0;8,9
Chou Cabus;choux;136;148;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;0;22
Chou Cabus;choux;136;157;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;hiver;21
Chou de milan;choux;136;151;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;hiver;24
chou frise;choux;117;152;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;hiver;2
Chou Romanesco;choux;136;150;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;hiver;23
Chou-fleur;choux;136;147;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;0;28
Chou-fleur;choux;136;150;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;hiver;29
Chou-fleur;choux;136;152;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1;été;hiver;30
Chou-rave;choux;139;146;2;;brassicacees;2;non;oui;1;mi-ombre;oui;;oui;2;été;0;5,7
Concombre;concombre;122;137;1;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;cucurbitacees;4;oui;non;2;soleil;;;non;3;été;0;3
Courge;courges;123;141;6;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;cucurbitacees;4;oui;non;3;soleil;;;non;1;été;0;31,32,33,34,35,36
Courgette;courgette;120;139;4;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;cucurbitacees;4;oui;non;2;soleil;;;;2;été;0;17,18,19,20
Echalotte;oignon;115;128;1;;aliacees;4;oui;oui;1;mi-ombre;oui;;;1;été;0;70
